arm,base_users,page_viewed,size_changed,size_changed_pct,atc,atc_pct,checkout_initiated,completed,conversion_pct
a,2497,2497,2079,83.26,476,19.06,195,66,2.64
b,2736,2736,1980,72.37,491,17.95,158,49,1.79
